Account_ID,Customer_Name,Age,Gender,Marital_Status,Account_Type,Balance,Interest_Rate,Account_Term,Opening_Date,Closing_Date,Transaction_Status,Transaction_Amount,Transaction_Type,Frequency,Region,Occupation,Dependents,Customer_Satisfaction_Rating
A0017,Customer_17,20,Female,Married,Current,742535,5.091195080252071,2,2015-12-18,2030-04-21,Failed,93593,Deposit,Quarterly,East,Retired,0,2
A0018,Customer_18,19,Male,Married,Current,590275,4.164239535544562,16,2008-08-01,2022-05-18,Success,8953,Deposit,Monthly,East,Retired,3,5
A0019,Customer_19,23,Male,Married,Savings,728250,5.633259842119253,15,2009-02-08,2026-04-10,Failed,77810,Withdrawal,Monthly,West,Retired,4,1
A0020,Customer_20,31,Male,Single,Fixed Deposit,933813,4.409648386603202,18,2008-07-22,2028-12-17,Success,25477,Deposit,Monthly,South,Employed,5,3
A0021,Customer_21,32,Male,Divorced,Savings,974964,5.3185532195976215,10,2009-10-05,2026-12-19,Success,75232,Withdrawal,Monthly,North,Employed,0,4
A0022,Customer_22,50,Female,Single,Fixed Deposit,644520,5.20702226403641,18,2012-03-23,2028-08-10,Success,16612,Deposit,Yearly,East,Employed,2,4
A0023,Customer_23,56,Female,Single,Fixed Deposit,826220,2.7432722612855214,16,2004-09-26,2030-04-04,Success,83640,Withdrawal,Monthly,East,Unemployed,5,3
A0024,Customer_24,19,Female,Married,Savings,375158,6.132189100919076,7,2014-11-10,2026-12-23,Failed,66802,Deposit,Yearly,West,Student,5,2
A0025,Customer_25,53,Male,Married,Fixed Deposit,235081,6.460309408150301,19,2003-11-21,2024-04-12,Failed,33691,Withdrawal,Yearly,West,Student,2,3
A0026,Customer_26,30,Male,Married,Fixed Deposit,698860,5.0645700564446345,6,2010-08-26,2026-01-26,Success,46681,Deposit,Monthly,West,Student,3,5
A0027,Customer_27,63,Female,Married,Savings,618558,2.058224336929571,18,2003-02-13,2027-12-19,Success,55282,Transfer,Yearly,West,Student,3,3
A0028,Customer_28,59,Male,Single,Fixed Deposit,855017,6.671857102100826,12,2004-03-21,2025-02-16,Success,63197,Deposit,Quarterly,South,Unemployed,0,5
A0029,Customer_29,62,Female,Married,Current,184869,4.527837859423666,11,2012-06-16,2029-12-21,Failed,95077,Withdrawal,Yearly,East,Student,1,1
A0030,Customer_30,52,Male,Divorced,Fixed Deposit,397764,4.346444683219163,15,2008-08-16,2028-07-20,Failed,81476,Withdrawal,Yearly,South,Self-Employed,5,4
A0031,Customer_31,44,Female,Single,Savings,322727,4.479174653791473,9,2018-11-30,2028-10-10,Failed,58377,Transfer,Yearly,South,Self-Employed,2,4
A0032,Customer_32,32,Male,Married,Current,770649,2.827019366430686,20,2020-09-25,2030-01-26,Success,24469,Deposit,Yearly,East,Retired,5,5
A0033,Customer_33,46,Male,Divorced,Current,722942,5.757150005238055,18,2008-01-30,2030-11-27,Failed,31970,Deposit,Quarterly,West,Retired,5,2
A0034,Customer_34,55,Female,Married,Fixed Deposit,309823,3.603169077668034,6,2018-11-02,2021-09-26,Success,18145,Deposit,Quarterly,North,Employed,5,2
A0035,Customer_35,35,Male,Divorced,Savings,134534,3.6544742126071843,3,2009-05-10,2023-02-11,Success,5876,Withdrawal,Monthly,East,Self-Employed,0,2
A0036,Customer_36,69,Male,Married,Current,187340,3.390785651294541,17,2003-06-17,2030-11-30,Success,8028,Deposit,Quarterly,South,Employed,3,5
A0037,Customer_37,18,Female,Married,Fixed Deposit,765234,4.534646660935376,5,2006-06-21,2026-02-19,Success,16835,Transfer,Yearly,South,Retired,0,2
A0038,Customer_38,66,Male,Single,Current,2885,4.752477848653395,15,2019-07-29,2021-12-24,Success,40950,Transfer,Quarterly,West,Retired,1,2
A0039,Customer_39,69,Female,Married,Savings,995876,3.893187962594516,10,2015-01-11,2021-11-25,Failed,76714,Deposit,Yearly,West,Unemployed,4,2
A0040,Customer_40,28,Male,Divorced,Fixed Deposit,737109,6.085516528598964,9,2002-10-25,2025-05-20,Failed,57227,Deposit,Monthly,West,Student,2,1
A0041,Customer_41,62,Male,Divorced,Current,995782,2.3941529787739584,18,2003-01-05,2023-01-03,Failed,67356,Deposit,Monthly,West,Student,2,1
A0042,Customer_42,45,Female,Single,Savings,601660,4.220944382297295,12,2000-04-05,2024-03-27,Failed,85520,Transfer,Monthly,East,Unemployed,4,4
A0043,Customer_43,39,Female,Married,Current,411623,4.865174652937747,15,2001-08-10,2021-11-12,Success,98977,Deposit,Monthly,East,Student,4,3
A0044,Customer_44,35,Female,Single,Fixed Deposit,893083,2.440099308512703,1,2014-07-17,2022-03-24,Failed,46990,Withdrawal,Yearly,North,Self-Employed,4,5
A0045,Customer_45,27,Female,Married,Savings,809274,4.492280730868433,17,2000-05-08,2022-11-06,Failed,40888,Transfer,Monthly,West,Retired,1,1
A0046,Customer_46,31,Female,Single,Fixed Deposit,596048,3.580307637106882,13,2003-03-25,2024-02-05,Success,76602,Transfer,Quarterly,West,Retired,5,2
A0047,Customer_47,66,Male,Married,Current,34955,6.903353694728514,6,2016-03-06,2022-04-04,Failed,71028,Withdrawal,Monthly,South,Unemployed,0,2
A0048,Customer_48,39,Male,Married,Current,191926,5.726194823286422,1,2019-11-06,2028-10-26,Failed,19187,Withdrawal,Yearly,East,Employed,2,3
A0049,Customer_49,24,Female,Single,Savings,632650,2.088845644244675,20,2010-12-01,2022-08-30,Failed,19421,Withdrawal,Monthly,East,Self-Employed,4,2
A0050,Customer_50,23,Female,Single,Current,334674,4.017198294860815,12,2014-10-03,2026-07-26,Success,61641,Withdrawal,Quarterly,North,Unemployed,3,3
A0051,Customer_51,42,Male,Single,Fixed Deposit,966778,2.1791596620206164,20,2009-10-17,2022-09-09,Failed,40558,Transfer,Monthly,West,Student,1,3
A0052,Customer_52,24,Male,Single,Current,849095,4.745493948465947,8,2003-01-17,2030-10-24,Success,79179,Withdrawal,Quarterly,South,Unemployed,3,4
A0053,Customer_53,40,Female,Married,Fixed Deposit,642079,6.129543792117221,11,2001-11-24,2023-04-17,Failed,45044,Withdrawal,Monthly,North,Employed,2,5
A0054,Customer_54,40,Female,Married,Current,232625,5.95891642586154,3,2003-01-29,2026-11-03,Failed,38250,Withdrawal,Yearly,East,Retired,5,5
A0055,Customer_55,56,Male,Divorced,Fixed Deposit,671718,6.815856241400024,18,2014-05-28,2028-01-14,Failed,48443,Transfer,Monthly,West,Retired,5,5
A0056,Customer_56,34,Male,Married,Fixed Deposit,594022,5.187690612099988,13,2018-01-28,2021-04-03,Failed,1159,Withdrawal,Monthly,East,Retired,1,5
A0057,Customer_57,69,Male,Single,Fixed Deposit,110167,6.450554494125312,7,2009-04-29,2024-04-15,Success,67953,Withdrawal,Yearly,East,Retired,2,3
A0058,Customer_58,20,Male,Single,Current,983188,4.811662860469939,17,2019-04-17,2025-09-03,Success,76965,Deposit,Monthly,West,Retired,4,2
A0059,Customer_59,64,Female,Married,Fixed Deposit,521287,5.272979917804687,16,2010-03-24,2028-08-27,Success,86303,Withdrawal,Monthly,North,Student,5,3
A0060,Customer_60,47,Male,Divorced,Savings,148475,4.281039616106269,18,2020-01-16,2027-01-27,Success,89006,Transfer,Yearly,North,Unemployed,0,4
A0061,Customer_61,52,Male,Divorced,Current,348255,3.7042710022383356,5,2017-09-10,2022-06-25,Failed,19053,Withdrawal,Quarterly,South,Unemployed,4,3
A0062,Customer_62,25,Male,Married,Fixed Deposit,782549,6.126554953093648,20,2015-08-06,2026-04-26,Failed,7612,Withdrawal,Yearly,East,Student,3,2
A0063,Customer_63,42,Female,Single,Fixed Deposit,82586,6.082943432886828,10,2013-07-22,2024-11-21,Failed,31214,Transfer,Yearly,West,Unemployed,1,5
A0064,Customer_64,23,Male,Single,Fixed Deposit,250556,6.221587198021262,11,2020-11-12,2025-09-17,Failed,66567,Deposit,Quarterly,South,Self-Employed,5,1
A0065,Customer_65,53,Female,Married,Fixed Deposit,364656,3.659863127773659,14,2009-07-19,2025-12-24,Success,73428,Withdrawal,Quarterly,East,Self-Employed,2,4
A0066,Customer_66,36,Female,Divorced,Savings,336039,5.837081999322696,11,2013-12-23,2029-04-10,Success,7257,Withdrawal,Monthly,South,Employed,2,1
A0067,Customer_67,58,Female,Married,Savings,177042,4.999755757791313,4,2004-01-12,2028-03-25,Failed,55420,Deposit,Yearly,North,Self-Employed,0,2
A0068,Customer_68,57,Female,Married,Savings,668090,5.583290340645879,4,2010-03-11,2021-03-29,Failed,45164,Deposit,Yearly,South,Student,3,2
A0069,Customer_69,41,Female,Married,Fixed Deposit,929325,3.81647273584878,17,2011-06-05,2024-04-09,Success,25712,Withdrawal,Quarterly,East,Retired,1,1
A0070,Customer_70,54,Female,Married,Fixed Deposit,94035,4.262662280873334,3,2009-07-06,2023-02-14,Failed,26363,Transfer,Yearly,East,Unemployed,0,2
A0071,Customer_71,30,Male,Single,Current,862574,2.48718511161655,2,2012-05-19,2021-09-15,Failed,84058,Withdrawal,Monthly,South,Retired,3,1
A0072,Customer_72,63,Male,Single,Savings,744404,5.294551269030091,5,2018-05-24,2021-04-01,Failed,26479,Transfer,Quarterly,East,Retired,5,2
A0073,Customer_73,22,Male,Married,Fixed Deposit,703571,2.010984738966715,6,2010-02-03,2030-10-11,Success,9065,Deposit,Yearly,North,Unemployed,1,2
A0074,Customer_74,20,Male,Divorced,Fixed Deposit,671147,3.775694892923678,2,2008-08-17,2029-12-29,Success,44867,Deposit,Quarterly,North,Employed,2,4
A0075,Customer_75,60,Female,Married,Savings,765711,5.168305902348223,7,2007-12-20,2023-08-10,Failed,24919,Transfer,Quarterly,East,Unemployed,2,3
A0076,Customer_76,32,Male,Single,Fixed Deposit,930723,5.999563578217609,4,2005-01-23,2030-05-13,Success,87637,Deposit,Monthly,North,Unemployed,3,1
A0077,Customer_77,67,Male,Single,Fixed Deposit,353058,4.738452908470671,16,2004-03-02,2026-10-30,Success,62454,Transfer,Yearly,East,Self-Employed,4,5
A0078,Customer_78,36,Male,Divorced,Fixed Deposit,469325,3.8694518023020046,7,2009-07-11,2028-03-25,Failed,91166,Withdrawal,Monthly,South,Employed,5,4
A0079,Customer_79,23,Male,Married,Fixed Deposit,12949,2.531611146248061,4,2013-07-23,2024-10-07,Failed,90780,Transfer,Quarterly,West,Unemployed,2,4
A0080,Customer_80,32,Male,Single,Current,279095,6.484385593390292,2,2000-03-01,2025-08-14,Failed,61363,Deposit,Monthly,East,Unemployed,0,3
A0081,Customer_81,24,Male,Single,Current,220869,4.462110710905835,19,2012-12-17,2027-06-29,Success,78712,Withdrawal,Yearly,South,Student,1,2
A0082,Customer_82,42,Male,Married,Current,262662,6.109193299593631,13,2011-03-04,2024-11-05,Failed,90856,Withdrawal,Quarterly,North,Student,1,5
A0083,Customer_83,35,Female,Married,Savings,727847,5.712554451881315,16,2018-12-29,2028-05-09,Success,43503,Transfer,Monthly,West,Self-Employed,0,4
A0084,Customer_84,47,Female,Divorced,Savings,72087,4.046053786090072,17,2016-05-23,2028-03-31,Failed,75913,Transfer,Quarterly,East,Self-Employed,5,4
A0085,Customer_85,58,Female,Divorced,Savings,368506,3.2714465562571498,20,2005-04-23,2029-10-28,Failed,74299,Transfer,Monthly,South,Unemployed,2,2
A0086,Customer_86,41,Female,Divorced,Current,270125,2.9796073357590807,19,2015-12-21,2024-08-29,Failed,44095,Withdrawal,Yearly,South,Unemployed,1,4
A0087,Customer_87,28,Male,Married,Savings,826250,2.603729036830971,9,2011-04-03,2026-06-15,Failed,80853,Transfer,Yearly,North,Retired,0,5
A0088,Customer_88,41,Male,Married,Fixed Deposit,114282,6.260971858832854,2,2006-01-14,2027-08-28,Failed,39373,Withdrawal,Yearly,East,Employed,4,3
A0089,Customer_89,40,Female,Divorced,Fixed Deposit,756408,3.07794752184473,12,2009-03-19,2028-06-20,Success,54979,Transfer,Monthly,North,Self-Employed,2,5
A0090,Customer_90,31,Female,Single,Fixed Deposit,2343,6.122770718538031,8,2020-10-12,2028-10-25,Success,43172,Deposit,Yearly,West,Unemployed,5,4
A0091,Customer_91,60,Female,Single,Fixed Deposit,51486,2.9528938202853467,20,2012-04-01,2026-12-12,Failed,21370,Deposit,Yearly,West,Self-Employed,5,1
A0092,Customer_92,35,Male,Married,Fixed Deposit,405684,3.689667742988681,3,2012-12-04,2030-06-11,Success,13842,Transfer,Yearly,East,Employed,4,3
A0093,Customer_93,62,Male,Single,Fixed Deposit,460507,5.785746709051368,1,2008-03-25,2027-02-25,Failed,59646,Withdrawal,Quarterly,East,Self-Employed,3,5
A0094,Customer_94,61,Female,Married,Fixed Deposit,769170,2.232501809545849,7,2000-10-01,2025-12-29,Failed,5630,Deposit,Yearly,South,Retired,4,3
A0095,Customer_95,59,Male,Divorced,Savings,441038,5.166202337945485,16,2000-11-06,2026-02-19,Failed,65102,Transfer,Quarterly,South,Retired,3,3
A0096,Customer_96,22,Female,Married,Current,175418,5.3607088621262875,3,2012-09-28,2024-05-30,Failed,28857,Withdrawal,Yearly,North,Self-Employed,5,2
A0097,Customer_97,56,Male,Married,Current,928519,2.616095951651974,15,2010-11-02,2027-05-13,Success,584,Deposit,Yearly,West,Employed,4,3
A0098,Customer_98,58,Male,Married,Current,435130,6.458771774564109,2,2015-10-23,2022-06-25,Success,83824,Transfer,Yearly,West,Retired,2,3
A0099,Customer_99,28,Male,Single,Current,518033,4.286939384730782,12,2008-04-07,2029-11-08,Success,29332,Withdrawal,Yearly,North,Employed,4,4
A0100,Customer_100,52,Female,Married,Fixed Deposit,925603,4.9465808330547185,18,2002-07-16,2024-06-09,Failed,90961,Transfer,Monthly,East,Retired,3,5
A0101,Customer_101,64,Male,Single,Fixed Deposit,398108,4.520987880775183,14,2013-01-05,2022-12-05,Success,30282,Withdrawal,Quarterly,West,Retired,3,4
A0102,Customer_102,33,Male,Divorced,Fixed Deposit,369292,6.819273780987733,12,2010-10-19,2029-11-07,Success,61249,Deposit,Monthly,North,Self-Employed,4,1
A0103,Customer_103,28,Male,Divorced,Fixed Deposit,573547,2.0216881383346146,2,2015-06-27,2023-12-01,Failed,81878,Transfer,Quarterly,North,Employed,0,3
A0104,Customer_104,47,Male,Single,Savings,394580,5.681069651565387,20,2001-10-17,2023-07-18,Success,28036,Withdrawal,Quarterly,West,Student,2,5
A0105,Customer_105,42,Female,Married,Current,107355,4.7661316445212165,9,2003-03-09,2026-06-07,Failed,31428,Withdrawal,Monthly,South,Employed,2,3
A0106,Customer_106,35,Female,Divorced,Savings,870067,4.164051899269824,17,2016-05-17,2025-03-04,Failed,63112,Transfer,Yearly,East,Unemployed,2,1
A0107,Customer_107,58,Female,Married,Current,503780,4.925603556742219,2,2016-05-26,2024-03-26,Success,96383,Transfer,Yearly,West,Self-Employed,2,3
A0108,Customer_108,62,Male,Single,Savings,828043,6.621854368907694,3,2011-10-22,2029-08-19,Success,43552,Deposit,Quarterly,South,Unemployed,3,4
A0109,Customer_109,53,Female,Married,Current,907022,5.905407485409167,10,2019-04-10,2030-06-26,Success,97103,Withdrawal,Monthly,North,Retired,1,1
A0110,Customer_110,32,Female,Divorced,Current,607135,6.550907432183714,3,2016-10-31,2021-07-13,Success,49371,Withdrawal,Quarterly,East,Student,3,5
A0111,Customer_111,61,Female,Married,Savings,683591,5.459088563120156,7,2017-06-20,2022-08-31,Success,27011,Withdrawal,Monthly,North,Student,5,2
A0112,Customer_112,38,Female,Divorced,Savings,796075,2.868251350912997,17,2006-04-08,2024-12-17,Failed,52569,Transfer,Yearly,North,Retired,3,1
A0113,Customer_113,67,Female,Married,Fixed Deposit,721539,6.076220770492471,4,2010-06-05,2024-03-10,Failed,24249,Transfer,Yearly,West,Self-Employed,1,2
A0114,Customer_114,67,Female,Divorced,Savings,237540,2.517769805617838,4,2011-08-05,2026-02-11,Failed,981,Deposit,Quarterly,East,Student,4,4
A0115,Customer_115,21,Male,Divorced,Current,171557,5.287609055658654,8,2001-10-02,2022-11-13,Failed,47655,Transfer,Quarterly,South,Unemployed,5,1
A0116,Customer_116,32,Male,Divorced,Current,474209,5.030803869765098,18,2011-09-27,2027-12-09,Success,1396,Withdrawal,Monthly,West,Employed,1,1
A0117,Customer_117,70,Female,Single,Current,78289,3.60921880990677,13,2019-12-17,2022-10-21,Failed,9764,Withdrawal,Quarterly,North,Employed,5,5
A0118,Customer_118,20,Female,Single,Current,839016,6.406952835048088,7,2013-09-06,2028-12-25,Success,47008,Transfer,Monthly,North,Student,3,3
A0119,Customer_119,69,Female,Single,Savings,887846,4.093323729168652,7,2001-12-25,2027-01-02,Failed,4034,Deposit,Quarterly,East,Student,2,2
A0120,Customer_120,38,Male,Married,Fixed Deposit,36035,5.044968467798466,17,2005-07-01,2024-03-14,Failed,72804,Transfer,Monthly,North,Student,3,3
A0121,Customer_121,43,Male,Married,Current,310234,5.4625776768615335,8,2010-08-06,2023-01-17,Success,15198,Deposit,Quarterly,North,Unemployed,0,3
A0122,Customer_122,35,Male,Married,Current,22053,3.241193945467318,19,2014-02-22,2022-12-20,Success,18764,Transfer,Monthly,West,Employed,5,4
A0123,Customer_123,22,Male,Divorced,Current,335198,3.989349982276318,6,2016-08-19,2030-05-31,Failed,38186,Transfer,Monthly,North,Self-Employed,4,4
A0124,Customer_124,31,Female,Married,Savings,274812,3.714294030163126,18,2014-11-20,2028-12-10,Failed,57825,Transfer,Monthly,West,Unemployed,0,5
A0125,Customer_125,54,Male,Single,Current,998890,3.4708677102940415,18,2014-12-31,2028-10-08,Success,25580,Transfer,Yearly,East,Employed,5,1
A0126,Customer_126,63,Male,Single,Fixed Deposit,110812,6.023984154066884,14,2001-10-01,2028-06-22,Failed,82850,Deposit,Quarterly,East,Unemployed,3,5
A0127,Customer_127,38,Female,Divorced,Fixed Deposit,78804,2.690900028226728,4,2015-05-05,2029-11-29,Failed,76867,Deposit,Yearly,East,Employed,4,2
A0128,Customer_128,31,Female,Divorced,Current,359411,5.012622248381908,19,2014-03-19,2022-09-21,Success,47274,Withdrawal,Monthly,East,Self-Employed,2,4
A0129,Customer_129,59,Female,Married,Current,179368,6.432184277043747,12,2012-02-04,2022-10-23,Success,5854,Deposit,Yearly,West,Employed,0,5
A0130,Customer_130,49,Male,Divorced,Savings,932063,4.561473112512869,15,2017-11-25,2023-09-02,Success,3990,Withdrawal,Quarterly,North,Unemployed,1,2
A0131,Customer_131,43,Female,Single,Current,394696,6.215372156407472,14,2012-12-31,2022-04-24,Success,26199,Transfer,Monthly,East,Self-Employed,5,2
A0132,Customer_132,59,Female,Single,Savings,169720,4.739029856797588,4,2007-01-03,2021-06-18,Success,26029,Transfer,Quarterly,West,Retired,4,2
A0133,Customer_133,47,Male,Single,Fixed Deposit,768541,3.569553975458233,6,2013-10-01,2024-07-20,Failed,37337,Withdrawal,Monthly,North,Unemployed,2,1
A0134,Customer_134,27,Female,Single,Savings,79645,5.684093241971436,6,2001-03-08,2027-06-12,Success,22925,Deposit,Monthly,West,Unemployed,2,2
A0135,Customer_135,34,Female,Divorced,Savings,574619,4.767907814405236,18,2020-04-07,2022-06-03,Failed,28797,Withdrawal,Quarterly,East,Student,2,3
A0136,Customer_136,26,Female,Married,Current,988584,3.086712785098295,13,2007-09-15,2025-12-11,Success,34440,Deposit,Yearly,West,Retired,2,5
A0137,Customer_137,33,Female,Married,Fixed Deposit,942751,3.0485634812775095,17,2011-12-31,2023-12-03,Success,94319,Withdrawal,Yearly,West,Employed,3,5
A0138,Customer_138,65,Female,Divorced,Savings,98627,5.571922678149472,11,2017-06-17,2025-02-23,Failed,22943,Transfer,Monthly,North,Unemployed,5,2
A0139,Customer_139,53,Male,Married,Fixed Deposit,355366,5.4330564865951825,6,2000-03-29,2023-01-26,Failed,44640,Transfer,Monthly,East,Employed,3,5
A0140,Customer_140,52,Male,Single,Savings,623886,6.605958822085475,18,2010-07-07,2023-04-21,Failed,72780,Deposit,Monthly,North,Student,0,5
A0141,Customer_141,34,Female,Divorced,Fixed Deposit,644453,2.6633586429557017,20,2010-03-08,2027-04-23,Success,32339,Deposit,Monthly,North,Employed,1,5
A0142,Customer_142,65,Female,Divorced,Savings,937615,5.551982218402862,15,2011-07-01,2028-12-06,Success,23501,Deposit,Quarterly,South,Retired,4,1
A0143,Customer_143,55,Female,Single,Fixed Deposit,507186,6.875897465583922,12,2020-04-27,2021-05-23,Failed,25788,Deposit,Monthly,North,Unemployed,4,5
A0144,Customer_144,45,Female,Married,Savings,739726,2.8890634962876676,11,2010-07-10,2028-06-19,Success,2917,Transfer,Quarterly,North,Self-Employed,1,3
A0145,Customer_145,55,Female,Divorced,Fixed Deposit,33498,4.712457392152844,18,2012-11-14,2024-07-22,Success,23178,Transfer,Yearly,South,Retired,4,5
A0146,Customer_146,43,Male,Married,Savings,453275,5.1843871743374095,11,2016-06-16,2024-11-09,Success,34413,Deposit,Quarterly,North,Employed,2,2
A0147,Customer_147,41,Female,Single,Current,989222,5.551763635702627,12,2007-06-08,2022-08-29,Failed,13363,Deposit,Monthly,East,Employed,4,5
A0148,Customer_148,32,Male,Married,Fixed Deposit,686386,5.803875124165334,14,2009-06-10,2025-03-08,Failed,2851,Withdrawal,Yearly,West,Self-Employed,3,2
A0149,Customer_149,26,Female,Divorced,Current,174012,4.811401057257127,14,2007-12-01,2026-01-11,Failed,88895,Transfer,Yearly,South,Self-Employed,3,3
A0150,Customer_150,50,Female,Divorced,Current,637818,4.914031355479292,11,2017-11-26,2027-01-21,Success,18088,Deposit,Monthly,South,Retired,0,2
A0151,Customer_151,49,Female,Married,Savings,933973,6.713368254421548,20,2006-08-10,2022-10-28,Success,49766,Deposit,Yearly,North,Student,2,1
A0152,Customer_152,23,Male,Divorced,Current,456292,5.5506181574418365,8,2006-06-27,2026-12-26,Success,85935,Withdrawal,Monthly,South,Self-Employed,4,2
A0153,Customer_153,66,Female,Married,Fixed Deposit,165735,5.371217427695868,19,2003-10-04,2024-05-20,Success,14644,Withdrawal,Yearly,East,Self-Employed,5,5
A0154,Customer_154,21,Male,Divorced,Savings,57157,6.4693300068896,18,2000-10-16,2022-05-13,Failed,44452,Withdrawal,Monthly,North,Unemployed,3,2
A0155,Customer_155,25,Female,Divorced,Savings,107176,4.669514018518029,7,2015-08-03,2021-04-13,Failed,27656,Deposit,Quarterly,North,Student,1,2
A0156,Customer_156,27,Female,Divorced,Fixed Deposit,348177,6.387386174771975,13,2020-09-12,2025-07-16,Failed,40086,Transfer,Quarterly,East,Self-Employed,3,5
A0157,Customer_157,58,Male,Married,Fixed Deposit,216535,4.111931845855146,18,2013-05-27,2026-08-08,Failed,59895,Withdrawal,Monthly,North,Student,4,5
A0158,Customer_158,28,Male,Divorced,Current,200212,2.063852575523033,9,2016-10-22,2029-08-14,Success,31576,Transfer,Monthly,North,Self-Employed,1,4
A0159,Customer_159,68,Female,Divorced,Current,430161,2.5323523292419363,12,2006-10-26,2022-08-19,Failed,48549,Withdrawal,Monthly,North,Student,3,2
A0160,Customer_160,61,Female,Married,Savings,732063,3.9043515676754232,15,2016-04-21,2026-02-20,Success,48904,Transfer,Yearly,East,Unemployed,4,3
A0161,Customer_161,45,Female,Married,Fixed Deposit,582028,2.265324997538856,15,2017-08-09,2024-08-04,Success,86726,Deposit,Monthly,North,Self-Employed,0,1
A0162,Customer_162,56,Male,Single,Fixed Deposit,758111,2.2830238714777833,13,2012-08-22,2022-10-02,Failed,22560,Transfer,Monthly,East,Self-Employed,0,4
A0163,Customer_163,22,Male,Married,Savings,971534,3.334891347221472,1,2005-11-03,2021-01-18,Success,69165,Deposit,Monthly,East,Employed,3,3
A0164,Customer_164,42,Female,Married,Current,766433,5.927660962974109,2,2001-05-18,2029-04-13,Failed,81784,Transfer,Monthly,West,Retired,1,4
A0165,Customer_165,42,Male,Divorced,Fixed Deposit,567362,6.917661968120021,10,2014-02-11,2027-02-16,Success,56948,Transfer,Quarterly,East,Self-Employed,1,5
A0166,Customer_166,56,Female,Single,Current,279150,5.4169516433239355,20,2010-08-12,2026-09-10,Failed,93284,Transfer,Monthly,South,Employed,0,4
A0167,Customer_167,47,Female,Married,Current,693687,2.73214195070348,1,2012-12-19,2024-09-18,Success,8669,Withdrawal,Yearly,South,Student,4,4
A0168,Customer_168,51,Female,Divorced,Savings,296198,2.310164119697915,17,2003-10-17,2028-04-05,Success,15631,Deposit,Yearly,West,Employed,2,4
A0169,Customer_169,34,Male,Married,Fixed Deposit,312847,5.9217870047368315,5,2012-11-05,2028-11-29,Failed,19031,Transfer,Monthly,North,Student,1,3
A0170,Customer_170,53,Male,Divorced,Savings,250087,3.0200045166013365,10,2001-02-26,2024-04-25,Failed,17243,Withdrawal,Monthly,South,Retired,1,2
A0171,Customer_171,18,Male,Divorced,Savings,101575,4.705860437166184,1,2014-09-20,2026-04-26,Success,24956,Deposit,Monthly,East,Retired,5,3
A0172,Customer_172,61,Male,Divorced,Current,53046,3.7934121867279043,10,2006-07-18,2024-04-02,Failed,25224,Transfer,Yearly,South,Self-Employed,3,1
